topic,link,domain,published_date,title,lang,sentiment
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/dbnl-acl080620.php,eurekalert.org,2020-08-06 13:59:45,A closer look at water-splitting's solar fuel potential,en,4 stars
SCIENCE,https://www.pulse.ng/news/world/an-irresistible-scent-makes-locusts-swarm-study-finds/jy784jw,pulse.ng,2020-08-12 15:14:19,"An irresistible scent makes locusts swarm, study finds",en,1 star
SCIENCE,https://www.express.co.uk/news/science/1322607/artificial-intelligence-warning-machine-learning-algorithm-social-media-data,express.co.uk,2020-08-13 21:01:00,Artificial intelligence warning: AI will know us better than we know ourselves,en,5 stars
SCIENCE,https://www.ndtv.com/world-news/glaciers-could-have-sculpted-mars-valleys-study-2273648,ndtv.com,2020-08-03 22:18:26,Glaciers Could Have Sculpted Mars Valleys: Study,en,3 stars
SCIENCE,https://www.thesun.ie/tech/5742187/perseid-meteor-shower-tonight-time-uk-see/,thesun.ie,2020-08-12 19:54:36,Perseid meteor shower 2020: What time and how to see the huge bright FIREBALLS over UK again tonight,en,5 stars
SCIENCE,https://interestingengineering.com/nasa-releases-in-depth-map-of-beirut-explosion-damage,interestingengineering.com,2020-08-08 11:05:45,NASA Releases In-Depth Map of Beirut Explosion Damage,en,1 star
SCIENCE,https://www.thequint.com/tech-and-auto/spacex-nasa-demo-2-rocket-launch-set-for-saturday-how-to-watch,thequint.com,2020-05-28 09:09:46,"SpaceX, NASA Demo-2 Rocket Launch Set for Saturday: How to Watch",en,5 stars
SCIENCE,https://www.thespacereview.com/article/4003/1,thespacereview.com,2020-08-10 22:48:23,Orbital space tourism set for rebirth in 2021,en,4 stars
SCIENCE,https://www.businessinsider.com/greenland-melting-ice-sheet-past-tipping-point-2020-8,businessinsider.com,2020-08-16 00:28:54,Greenland's melting ice sheet has 'passed the point of no return',en,1 star
SCIENCE,https://www.thehindubusinessline.com/news/science/nasa-invites-engineering-students-to-help-harvest-water-on-mars-moon/article32352915.ece,thehindubusinessline.com,2020-08-14 07:43:25,"NASA invites engineering students to help harvest water on Mars, Moon",en,4 stars
SCIENCE,https://www.azoquantum.com/News.aspx?newsID=7321,azoquantum.com,2020-08-04 14:02:00,Astronomers Detect Electromagnetic Signal Caused by Unequal Neutron-Star Collision,en,1 star
SCIENCE,https://interestingengineering.com/nasa-finds-ammonia-linked-mushballs-and-shallow-lightning-on-jupiter,interestingengineering.com,2020-08-07 09:23:57,NASA Finds Ammonia-Linked 'Mushballs' and 'Shallow Lightning' on Jupiter,en,3 stars
SCIENCE,https://menafn.com/1100601885/Russia-targets-returning-to-Venus-build-reusable-rocket,menafn.com,2020-08-07 22:05:55,"Russia targets returning to Venus, build reusable rocket",en,4 stars
SCIENCE,https://www.nasa.gov/press-release/goddard/2020/mars-nightglow/,nasa.gov,2020-08-06 16:28:32,Martian Night Sky Pulses in Ultraviolet Light,en,4 stars
SCIENCE,https://scitechdaily.com/energy-efficient-tuning-of-spintronic-neurons-to-imitate-the-non-linear-oscillatory-neural-networks-of-the-human-brain/,scitechdaily.com,2020-08-17 14:23:19,Energy-Efficient Tuning of Spintronic Neurons to Imitate the Non-linear Oscillatory Neural Networks of the Human Brain,en,5 stars
SCIENCE,https://www.theladders.com/career-advice/scientists-may-have-discovered-the-achilles-heel-of-the-coronavirus,theladders.com,2020-08-14 19:58:55,Scientists may have discovered the Achilles' heel of the coronavirus,en,3 stars
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/e-tbt080420.php,eurekalert.org,2020-08-04 16:02:36,Tradeoff between the eyes and nose helps flies find their niche,en,4 stars
SCIENCE,https://kearneyhub.com/news/national/2020s-final-mars-mission-poised-for-blastoff-from-florida/article_241d8506-ac89-56f5-8472-6c5f8423523d.html,kearneyhub.com,2020-08-08 17:13:07,2020's final Mars mission poised for blastoff from Florida,en,4 stars
SCIENCE,https://www.washingtonpost.com/science/ant-behavior-evolution-fossil/2020/08/14/a246197c-dcd6-11ea-809e-b8be57ba616e_story.html,washingtonpost.com,2020-08-15 12:00:00,"In rare find, fossil shows how Cretaceous-era ‘hell ant’ ate its prey with weird jaws",en,4 stars
SCIENCE,https://www.rnz.co.nz/news/world/422607/nasa-spacex-crew-return-dragon-capsule-splashes-down,rnz.co.nz,2020-08-02 18:50:38,Nasa SpaceX crew return: Dragon capsule splashes down,en,1 star
SCIENCE,https://www.techexplorist.com/look-mars-eerie-nightglow/34341/,techexplorist.com,2020-08-07 11:17:00,Take a look at Mar’s eerie nightglow,en,5 stars
SCIENCE,https://interestingengineering.com/cern-scientists-discover-rare-higgs-boson-process,interestingengineering.com,2020-08-05 13:08:05,CERN Scientists Discover Rare Higgs Boson Process,en,4 stars
SCIENCE,https://www.liverpoolecho.co.uk/news/liverpool-news/beautiful-healthy-young-woman-died-18747884,liverpoolecho.co.uk,2020-08-11 04:00:00,'Beautiful and healthy' young woman died suddenly on dream work trip in Australia,en,4 stars
SCIENCE,https://scitechdaily.com/hubble-uses-moon-as-mirror-to-study-earths-atmosphere-proxy-in-search-of-potentially-habitable-planets-around-other-stars/,scitechdaily.com,2020-08-06 14:28:45,Hubble Uses Moon As “Mirror” to Study Earth’s Atmosphere – Proxy in Search of Potentially Habitable Planets Around Other Stars,en,4 stars
SCIENCE,https://www.daijiworld.com/news/newsDisplay.aspx?newsID=737478,daijiworld.com,2020-08-04 10:07:36,Indian researchers show how Covid-19 PPE can turn into biofuel,en,4 stars
SCIENCE,https://www.thechronicleherald.ca/lifestyles/regional-lifestyles/atlantic-skies-young-astronomers-and-the-perseid-meteors-481695/,thechronicleherald.ca,2020-08-07 10:11:08,ATLANTIC SKIES: Young astronomers and the Perseid meteors,en,4 stars
SCIENCE,https://www.clickorlando.com/news/local/2020/08/04/nasa-astronauts-to-talk-about-historic-spacex-splashdown/,clickorlando.com,2020-08-04 23:21:00,‘It came alive:’ NASA astronauts describe experiencing splashdown in SpaceX Dragon,en,5 stars
SCIENCE,https://www.sproutwired.com/when-did-humans-find-out-how-to-use-fire/,sproutwired.com,2020-08-08 15:00:00,When did humans find out how to use fire?,en,3 stars
SCIENCE,https://futurism.com/the-byte/sourdough-exoplanet-surprisingly-dense,futurism.com,2020-08-04 07:00:00,"Like Your First Quarantine Sourdough Attempt, This Exoplanet Is ""Surprisingly Dense""",en,4 stars
SCIENCE,https://www.heritagedaily.com/2020/08/ring-like-structure-on-ganymede-may-have-been-caused-by-a-violent-impact/134643,heritagedaily.com,2020-08-07 22:11:40,Ring-like Structure on Ganymede May Have Been Caused by a Violent Impact,en,3 stars
SCIENCE,https://www.cbsnews.com/news/nasa-drops-insensitive-nicknames-cosmic-objects/,cbsnews.com,2020-08-08 18:39:00,"NASA drops ""insensitive"" nicknames for cosmic objects",en,1 star
SCIENCE,https://www.express.co.uk/news/science/1323379/Archaeology-news-Jerusalem-Siloam-Tunnel-inscription-Hezekiah-Bible-accurate,express.co.uk,2020-08-16 09:01:00,"Archaeology: A 2,700-year-old inscription in Jerusalem proves Bible RIGHT, expert claims",en,4 stars
SCIENCE,https://www.cbsnews.com/news/mars-helicopter-ingenuity-milestone-perseverance-rover/,cbsnews.com,2020-08-17 11:22:00,"Mars helicopter reaches ""big milestone"" on flight to planet",en,5 stars
SCIENCE,https://www.dailymail.co.uk/sciencetech/article-8612449/Sunspot-size-Mars-turning-Earth-solar-flares-affect-electronics.html,dailymail.co.uk,2020-08-10 15:51:55,Sunspot the size of Mars is turning towards Earth,en,4 stars
SCIENCE,https://www.space.com/jupiter-moon-ganymede-giant-impact-scar.html,space.com,2020-08-07 20:44:00,Jupiter's huge moon Ganymede may have the largest impact scar in the solar system,en,3 stars
SCIENCE,https://www.mirror.co.uk/science/man-posts-mind-blowing-tiktok-22521686,mirror.co.uk,2020-08-14 11:58:00,Man posts mind-blowing TikTok from highest point in Canada to disprove Flat Earth theory,en,5 stars
SCIENCE,https://www.27east.com/southampton-press/cause-of-massive-fish-kill-in-shinnecock-canal-not-clear-2-1479054/,27east.com,2019-11-23 16:07:14,Cause Of Massive Fish Kill In Shinnecock Canal Not Clear - 27 East,en,1 star
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/ps-unm080320.php,eurekalert.org,2020-08-03 20:17:32,"Unequal neutron-star mergers create unique ""bang"" in simulations",en,1 star
SCIENCE,https://www.cnn.com/2020/08/03/us/zombie-cicadas-west-virginia-fungus-scn-trnd/index.html,cnn.com,2020-08-03 21:59:00,'Zombie cicadas' under the influence of a mind controlling fungus have returned to West Virginia,en,1 star
SCIENCE,https://www.sciencealert.com/astronomers-may-have-just-found-a-missing-baby-neutron-star,sciencealert.com,2020-08-04 06:01:29,Astronomers May Have Found a Lost Neutron Star That's Been Missing For Decades,en,3 stars
SCIENCE,https://www.somagnews.com/spacexs-starship-spacecraft-saw-150-meters-high/,somagnews.com,2020-08-05 17:12:00,SpaceX's Starship spacecraft saw 150 meters high,en,1 star
SCIENCE,https://www.sciencealert.com/these-orbs-look-like-candy-but-they-re-actually-different-flavours-of-a-martian-moon,sciencealert.com,2020-08-13 23:23:31,"These Orbs Look Like Candy, But They're Actually Different Flavours of Phobos",en,3 stars
TECHNOLOGY,https://www.kotaku.com.au/2020/08/come-see-what-its-like-to-play-microsoft-flight-simulator/,kotaku.com.au,2020-08-14 06:29:00,Come See What It’s Like To Play Microsoft Flight Simulator,en,5 stars
TECHNOLOGY,https://www.notebookcheck.net/Xiaomi-rolls-out-Android-10-to-the-Redmi-Note-7-Pro-in-India-as-Mi-Note-10-and-Redmi-Note-8-Pro-receive-new-MIUI-12-upgrades.485157.0.html,notebookcheck.net,2020-08-11 16:17:38,Xiaomi rolls out Android 10 to the Redmi Note 7 Pro in India as Mi Note 10 and Redmi Note 8 Pro receive new MIUI 12 upgrades,en,5 stars
TECHNOLOGY,https://sea.mashable.com/tech/11935/xiaomis-mi-10-ultra-has-120x-zoom-and-can-fully-charge-in-23-minutes,sea.mashable.com,2020-08-12 14:28:00,Xiaomi's Mi 10 Ultra has 120x zoom and can fully charge in 23 minutes,en,5 stars
TECHNOLOGY,https://www.welivesecurity.com/2020/08/14/google-test-new-feature-chrome-phishing/,welivesecurity.com,2020-08-14 15:12:04,Google will test new feature in Chrome to curb phishing,en,5 stars
TECHNOLOGY,https://www.digitaltrends.com/news/tiktok-creators-say-theyre-not-switching-to-instagram-reels-survey/,digitaltrends.com,2020-08-12 19:12:00,TikTok creators say they’re not switching to Instagram Reels: survey,en,1 star
SCIENCE,https://www.digitaltrends.com/news/nasa-insight-mars-subsurface-boundaries/,digitaltrends.com,2020-08-09 13:24:00,NASA’s InSight lander shows what’s beneath Mars’ surface,en,4 stars
TECHNOLOGY,https://www.mmorpg.com/eve-echoes/videos/eve-echoes-releases-on-ios-and-android-today-2000119099,mmorpg.com,2020-08-13 22:14:49,EVE Echoes Releases On iOS and Android Today,en,5 stars
TECHNOLOGY,https://www.topgear.com.ph/features/feature-articles/gopro-inside-tire-a962-20200803,topgear.com.ph,2020-08-03 05:37:00,YouTuber mounts GoPro inside his tire,en,1 star
TECHNOLOGY,https://9to5google.com/2020/08/05/google-discontinues-pixel-4/,9to5google.com,2020-08-06 06:50:00,Google discontinues Pixel 4 and Pixel 4 XL after less than a year [Updated],en,1 star
TECHNOLOGY,https://www.kitco.com/news/2020-08-10/Facebook-Microsoft-gripes-with-Apple-s-App-Store-on-EU-s-antitrust-radar.html,kitco.com,2020-08-10 18:01:00,"Facebook, Microsoft gripes with Apple's App Store on EU's antitrust radar",en,1 star
SCIENCE,https://mybigplunge.com/tech-plunge/spacex-crew-1-mission-with-nasa-first-fully-operational-crewed-mission-to-space-to-launch-in-october/,mybigplunge.com,2020-08-17 00:03:42,"SpaceX Crew-1 mission with NASA, first fully operational crewed mission to space to launch in October",en,4 stars
TECHNOLOGY,https://www.hitc.com/en-gb/2020/08/06/ufc-4-official-soundtrack-on-spotify/,hitc.com,2020-08-06 17:22:00,"UFC 4: Official soundtrack released as Spotify playlist – Eminem, J Cole, MGK and more",en,5 stars
TECHNOLOGY,https://www.kitguru.net/gaming/mustafa-mahmoud/the-switch-is-officially-nintendos-second-best-selling-console-ever/,kitguru.net,2020-08-17 10:46:06,The Switch is officially Nintendo's second best selling console ever,en,5 stars
TECHNOLOGY,https://scitechdaily.com/the-difference-between-success-and-failure-neuroscience-of-getting-and-staying-motivated/,scitechdaily.com,2020-08-15 23:04:07,The Difference Between Success and Failure: (Neuro)science of Getting and Staying Motivated,en,4 stars
TECHNOLOGY,https://www.myjoyonline.com/business/technology-business/toshiba-shuts-the-lid-on-laptops-after-35-years/,myjoyonline.com,2020-08-10 12:27:56,Toshiba shuts the lid on laptops after 35 years,en,1 star
TECHNOLOGY,https://sea.mashable.com/tech/11984/the-phone-camera-is-king-and-the-note-20-ultra-wears-the-crownfor-now,sea.mashable.com,2020-08-17 05:08:00,The phone camera is king and the Note 20 Ultra wears the crown…for now,en,5 stars
SCIENCE,https://pledgetimes.com/asteroid-29075-1950-da-would-be-the-greatest-catastrophe-for-earth-tsunami-of-400-toes-excessive-waves/,pledgetimes.com,2020-08-07 11:06:50,"Asteroid 29075 1950 DA would be the greatest catastrophe for Earth, Tsunami of 400 toes excessive waves",en,1 star
TECHNOLOGY,https://press-start.com.au/news/playstation/2020/08/13/fall-guys-is-giving-free-gifts-to-anyone-who-has-opened-the-game-before-tomorrow-morning/,press-start.com.au,2020-08-13 12:25:10,Fall Guys Is Giving Free Gifts To Anyone Who Has Opened The Game Before Tomorrow Morning,en,5 stars
SCIENCE,http://spaceref.com/news/viewpr.html?pid=56068,spaceref.com,2020-08-03 23:01:12,ATLAS Space Operations Awarded NASA SBIR Phase II Award to Advance Satellite Constellation Management Scheduling,en,4 stars
TECHNOLOGY,https://www.gizchina.com/2020/08/04/xiaomi-patents-a-phone-with-a-detachable-display/,gizchina.com,2020-08-04 10:07:41,Xiaomi patents a phone with a detachable display,en,5 stars
SCIENCE,https://www.ndtv.com/world-news/greenland-ice-glaciers-melting-past-tipping-point-amid-climate-change-study-2280983,ndtv.com,2020-08-17 17:14:35,"Greenland Ice Melting Now Irreversible, Has Passed ""Tipping Point"": Study",en,1 star
TECHNOLOGY,https://www.express.co.uk/entertainment/gaming/1318052/Call-of-Duty-Modern-Warfare-Warzone-Season-5-update-1-24-PlayStation-4-file-size-pre-load,express.co.uk,2020-08-04 00:20:00,Call of Duty Modern Warfare and Warzone Season 5 update 1.24 LIVE on PlayStation 4,en,4 stars
TECHNOLOGY,https://www.iphoneincanada.ca/carriers/bell/bell-streamer-android-tv-box-prime-video/,iphoneincanada.ca,2020-08-04 14:57:53,Bell Launches 'Streamer' Android TV Box; Fibe TV Gets Prime Video App,en,5 stars
TECHNOLOGY,https://techcentral.co.za/xiaomi-celebrates-10th-anniversary-with-flagship-mi-10-ultra/100379/,techcentral.co.za,2020-08-11 15:59:00,Xiaomi celebrates 10th anniversary with flagship Mi 10 Ultra,en,5 stars
TECHNOLOGY,https://appleinsider.com/articles/20/08/06/apples-john-giannandrea-talks-apple-silicon-moving-from-google-to-apple-in-interview,appleinsider.com,2020-08-06 12:51:15,"Apple's John Giannandrea talks Apple Silicon, moving from Google to Apple",en,5 stars
TECHNOLOGY,https://www.techradar.com/nz/news/xbox-series-x-will-release-no-later-than-november-13-based-on-this-listing,techradar.com,2020-08-13 10:30:00,"Xbox Series X will release no later than November 13, based on this listing",en,1 star
TECHNOLOGY,https://www.gamespot.com/articles/call-of-duty-warzone-player-tricks-enemy-by-playin/1100-6480720/,gamespot.com,2020-08-09 17:22:00,Call of Duty: Warzone Player Tricks Enemy By Playing Dead,en,4 stars
SCIENCE,https://www.thequint.com/news/world/nasa-astronauts-in-spacex-capsule-make-touchdow-in-in-gulf-of-mexico,thequint.com,2020-08-03 03:02:32,NASA Astronauts in SpaceX Capsule Splashdown in Gulf Of Mexico,en,1 star
TECHNOLOGY,https://www.gizmodo.co.uk/2020/08/google-maps-finally-found-its-way-back-to-the-apple-watch/,gizmodo.co.uk,2020-08-11 15:00:00,Google Maps Finally Found its Way Back to the Apple Watch,en,5 stars
TECHNOLOGY,https://www.ibtimes.com/rockstar-games-rolls-back-unplayable-red-dead-online-patch-3028298,ibtimes.com,2020-08-14 05:50:56,Rockstar Games Rolls Back Unplayable 'Red Dead Online' Patch,en,1 star
TECHNOLOGY,https://www.space.com/beck-nasa-hyperspace-ai-visual-album-experience.html,space.com,2020-08-12 19:56:00,Beck teams up with NASA and AI for 'Hyperspace' visual album experience,en,4 stars
TECHNOLOGY,https://www.xda-developers.com/samsung-galaxy-note-20-free-usb-c-earbuds-us/,xda-developers.com,2020-08-17 21:26:00,"The Galaxy Note 20 doesn’t ship with AKG earbuds in the US, but you can ask for them",en,4 stars
TECHNOLOGY,https://www.pcgamer.com/au/blasphemous-gets-a-new-storyline-new-game-plus-and-more-for-free/,pcgamer.com,2020-08-04 13:33:00,"Blasphemous gets a new storyline, New Game Plus and more for free",en,1 star
SCIENCE,https://www.express.co.uk/news/weird/1323720/alien-base-ufo-mercury-space-news-conspiracy-theory-aliens,express.co.uk,2020-08-17 08:39:37,Alien base on Mercury: ET hunters claim to find huge UFO,en,3 stars
SCIENCE,https://www.brisbanetimes.com.au/national/australia-s-small-yet-crucial-part-in-the-mission-to-find-life-on-mars-20200803-p55i31.html?ref=rss&utm_medium=rss&utm_source=rss_feed,brisbanetimes.com.au,2020-08-03 07:23:00,Australia's small yet crucial part in the mission to find life on Mars,en,4 stars
TECHNOLOGY,https://www.gsmarena.com/the_xiaomi_mi_10_ultra_and_k30_ultra_are_china_only-news-44712.php,gsmarena.com,2020-08-12 08:59:01,Xiaomi Mi 10 Ultra and K30 Ultra not coming out of China news,en,1 star
TECHNOLOGY,https://www.pushsquare.com/news/2020/08/reaction_sony_wants_ps5_to_be_the_best_place_to_play_and_itll_open_its_wallet_to_achieve_it,pushsquare.com,2020-08-04 14:00:00,"Reaction: Sony Wants PS5 to Be the Best Place to Play, And It'll Open Its Wallet to Achieve It",en,4 stars
SCIENCE,https://www.latestly.com/agency-news/science-news-researchers-suggest-osmotic-therapy-device-for-spinal-cord-injuries-1967445.html,latestly.com,2020-08-16 15:17:17,Science News | Researchers Suggest Osmotic Therapy Device for Spinal Cord Injuries,en,5 stars
TECHNOLOGY,https://www.newshub.co.nz/home/lifestyle/2020/08/samsung-galaxy-note-20-s-claim-of-gender-fluidity-ridiculed-online.html,newshub.co.nz,2020-08-06 02:56:08,Samsung Galaxy Note 20's claim of 'gender fluidity' ridiculed online,en,1 star
TECHNOLOGY,https://www.cnn.com/2020/08/14/tech/twitch-record-dmca-copyright-notices/index.html,cnn.com,2020-08-14 10:23:00,Music is big on Twitch. Now record labels want it to pay up,en,1 star
TECHNOLOGY,https://indianexpress.com/article/technology/mobile-tabs/iphone-12-launch-date-october-6552964/,indianexpress.com,2020-08-13 08:23:54,iPhone 12 series could launch in October; on this date,en,4 stars
TECHNOLOGY,https://mumbrella.com.au/sleep-check-app-asks-is-there-more-to-your-snore-638401,mumbrella.com.au,2020-08-12 00:27:31,Sleep Check app asks 'Is there more to your snore'?,en,1 star
TECHNOLOGY,https://www.menshealth.com/technology-gear/g33545606/cooling-face-masks/,menshealth.com,2020-08-07 15:44:00,11 Best Cooling Face Masks for Summer 2020,en,5 stars
TECHNOLOGY,https://dotesports.com/lor/news/tales-of-runeterra-the-vaulted-road-teases-future-lor-champions,dotesports.com,2020-08-11 16:20:00,Tales of Runeterra “The Vaulted Road” teases future LoR champions,en,5 stars
TECHNOLOGY,https://www.geekwire.com/2020/alexa-helps-players-navigate-sci-fi-world-first-3-episodes-amazon-audio-adventure-starfinder/,geekwire.com,2020-08-04 14:00:00,Alexa helps players navigate sci-fi world in first 3 episodes of Amazon audio adventure ‘Starfinder’,en,4 stars
TECHNOLOGY,https://www.digitaltrends.com/mobile/samsung-galaxy-note-20-vs-iphone-11-pro/,digitaltrends.com,2020-08-12 15:14:00,Samsung Galaxy Note 20 vs. iPhone 11 Pro: A Galaxy of competition,en,5 stars
TECHNOLOGY,https://www.deccanchronicle.com/technology/in-other-news/060820/nintendo-profit-soars-as-people-play-more-games-staying-home-during-th.html,deccanchronicle.com,2020-08-06 15:11:00,Nintendo profit soars as people play more games staying home during the pandemic,en,2 stars
TECHNOLOGY,https://www.digitalmarketnews.com/xbox-series-s-reportedly-confirmed-by-controller-packaging-leak/,digitalmarketnews.com,2020-08-10 01:51:00,Xbox Series S Reportedly Confirmed by Controller Packaging Leak,en,1 star
TECHNOLOGY,https://mobilesyrup.com/2020/08/17/leaked-renders-reveal-samsung-galaxy-s20-fe/,mobilesyrup.com,2020-08-17 19:34:00,Leaked renders reveal Samsung Galaxy S20 FE,en,1 star
TECHNOLOGY,https://mybroadband.co.za/news/hardware/363086-intel-11th-gen-cpu-launch-date-revealed.html,mybroadband.co.za,2020-08-07 06:46:41,Intel 11th-gen CPU launch date revealed,en,5 stars
TECHNOLOGY,https://www.autoevolution.com/news/ev-west-is-going-for-an-electric-speed-record-at-bonneville-using-tesla-power-146902.html,autoevolution.com,2020-08-04 10:05:00,EV West Is Going for an Electric Speed Record at Bonneville Using Tesla Power,en,5 stars
TECHNOLOGY,https://www.slashgear.com/nreal-light-ar-glasses-launch-bundled-with-galaxy-note-20-5g-10632842/,slashgear.com,2020-08-11 04:01:00,Nreal Light AR glasses launch bundled with Galaxy Note 20 5G,en,5 stars
TECHNOLOGY,https://appleinsider.com/articles/20/08/04/apple-kills-long-time-mac-developers-apps-with-no-warning-and-isnt-responding,appleinsider.com,2020-08-04 20:39:37,Long-time Mac developer's apps pulled from Mac App Store because of automated system failure,en,1 star
SCIENCE,https://www.theguardian.com/australia-news/2020/aug/05/kids-helpline-says-demand-in-victoria-for-its-counselling-service-rose-8-in-july,theguardian.com,2020-08-04 17:30:00,Kids Helpline says demand in Victoria for its counselling service rose 8% in July,en,1 star
TECHNOLOGY,https://au.pcmag.com/graphic-cards/68095/intel-to-launch-xe-hpg-pc-gaming-graphics-cards-in-2021-using-outside-foundry,au.pcmag.com,2020-08-13 13:08:00,"Intel to Launch 'Xe HPG' PC Gaming Graphics Cards in 2021, Using Outside Foundry",en,5 stars
SCIENCE,https://www.space.com/russia-moon-mission-luna-25.html,space.com,2020-08-07 18:00:00,Russia gearing up to launch moon mission in 2021,en,4 stars
TECHNOLOGY,https://www.businesslive.co.za/bd/life/motoring/2020-08-13-maserati-unveils-trofeo-super-sedans/,businesslive.co.za,2020-08-13 03:05:00,Maserati unveils Trofeo super sedans,en,5 stars
TECHNOLOGY,https://www.gematsu.com/2020/08/ghostwire-tokyo-confirms-dog-petting,gematsu.com,2020-08-07 16:43:13,Ghostwire: Tokyo confirms dog petting,en,1 star
